100atm,,60atm,,20atm,,1atm,
X,Y,X,Y,X,Y,X,Y
8.971621973444428,1353.447177558617,8.971621973444428,1357.407882113665,8.458534436144475,1125.3533785758354,4.5248633168445735,931.4688687209796
7.983453383088886,1275.150696496412,8.137854725331977,1286.731426762347,4.5248633168445735,1032.6132545377795,2.3014839885446463,817.1846348670324
2.3014839885446463,1205.2157028281977,3.4131736526946383,1211.704516673702,4.5248633168445735,963.8318277754329,2.3014839885446463,780.1983959476574
3.4131736526946383,1128.9721401435204,6.748242645144501,1119.0071760236387,4.0801874511845995,882.7216547066273,10.083311637594363,1039.7509497678348
3.4131736526946383,1057.5951878429719,4.842488935173151,1056.4364710848458,2.3014839885446463,806.1536513296751,20.5649570424369,1349.5338750527649
3.4131736526946383,986.2182355424229,35.6521739130435,1355.0483134425726,11.750846133819323,1238.4303186998732,13.418380630044282,1129.7832418742087
3.4131736526946383,914.8412832418744,60.10934652434264,1346.4948770098622,17.05663771271685,1319.8338577842592,18.500390523301235,1237.6134233853945
2.936735225201744,827.93752638244,84.56651913564178,1341.7757396676775,29.42671179380369,1381.922325875897,32.9841187190836,1460.874968341072
35.6521739130435,1347.379715261522,109.02369174694093,1339.121224912698,51.21582921114293,1406.6638781227216,38.43139807341839,1535.3341072182357
60.10934652434264,1340.5959553321309,133.48086435824007,1338.2363866610385,73.44962249414215,1427.9983115238497,45.65738089039314,1620.4997889404813
84.56651913564178,1336.7616562416056,157.9380369695392,1340.5959553321309,113.47045040354078,1503.9960858052882,54.55089820359285,1703.2321654706627
109.02369174694093,1334.4020875705132,182.39520958083835,1347.7729767067044,134.59255402239,1560.4782608695652,64.5561051809425,1778.8268467707892
133.48086435824007,1331.747572815534,205.96303046081755,1358.0056395103425,164.60817495443894,1670.2473617560154,76.78469148659207,1861.1266357112704
157.9380369695392,1331.747572815534,226.86279614683679,1391.5373575348249,181.28351991668842,1737.298438159561,90.12496745639157,1938.4516673701983
182.39520958083835,1334.9919797382863,252.43165842228586,1417.3188054031239,204.6290028638375,1853.17011397214,104.57693309034107,2008.9016462642464
206.8523821921375,1334.9919797382863,276.888831033585,1446.1129168425496,219.080968497787,1922.2296327564372,121.25227805259044,2080.394470240608
231.30955480343664,1339.7111170804715,302.4576933090341,1480.990291262136,242.42645144493622,2047.3710426340226,141.26269200728973,2156.058674546222
255.76672741473578,1344.725200506543,325.8031762561833,1521.5453777965386,256.8784170788857,2117.434782608696,164.60817495443894,2220.4201235657547
280.2239000260349,1352.9836908553666,351.09411611559494,1569.805930772478,279.112210361885,2241.803714647531,189.06534756573808,2281.4739629302735
304.68107263733407,1363.01185770751,376.8173797332871,1622.302237230899,294.6758656599844,2315.884339383706,213.52252017703722,2332.7945815265357
329.1382452486332,1375.3995932307457,401.67599583441813,1680.1157661460531,319.13303827128357,2440.985516040523,237.97969278833637,2374.3819793545417
353.59541785993235,1389.5570052573012,427.21397784141857,1744.147741663149,340.2551418901328,2495.6048198319195,262.4368653996355,2410.070455504816
378.0525904712315,1406.3689320388348,452.6593190430733,1814.0827353313632,366.9356938297318,2613.8781994704323,286.89403801093465,2440.7448482290183
402.50976308253064,1425.2454814075754,479.09282883508354,1891.9485014774166,385.83441812028116,2672.2283663993244,311.3512106222338,2465.0287424690123
426.9669356938298,1449.4310602862734,503.673522520177,1965.623575348248,418.0734183806301,2765.84425342492,335.80838323353294,2490.2957903219612
451.4241083051289,1475.6812617521778,527.7601319100928,2039.028281975517,441.4189013277793,2813.305994090333,360.2655558448321,2507.107717103496
475.88128091642807,1503.4061936375147,550.0865659984379,2105.9441747572814,467.6230148398854,2858.936260025327,384.7227284561312,2522.7398595494838
500.3384535277272,1532.9008020261715,574.6981399519801,2178.898269311946,491.4449362145275,2884.638704478299,409.17990106743036,2536.6023254921524
524.7956261390264,1565.6398173375803,600.1434811536349,2251.7171802448293,512.5670398333767,2906.9071338117346,433.6370736787295,2548.4001688476146
549.2527987503255,1601.623239571741,625.2923717781828,2327.456057408189,555.9229367352252,2943.3329751717256,458.09424629002865,2558.428335699758
573.7099713616246,1642.6207452319738,652.5164164424775,2411.7745884339383,580.3801093465244,2958.0802793660537,482.5514189013278,2566.6868260485817
598.1671439729238,1685.9778195632985,644.8581098672221,2295.336428872942,593.7203853163239,2963.6842549598987,507.00859151262694,2573.175639894086
622.6243165842229,1731.1045703979432,677.9617576441321,2482.43056141832,629.2944545691225,2976.3669365670207,531.4657641239261,2574.3554242296327
647.081489195522,1778.2959438197936,702.6659724030201,2563.5603975593845,653.7516271804218,2980.496181741433,555.9229367352252,2574.3554242296327
671.5386618068212,1827.55193982885,727.1231450143191,2596.712337388234,668.2035928143712,2983.150696496412,580.3801093465244,2574.3554242296327
695.9958344181202,1876.8079358379064,752.6920072897683,2663.9821654706625,704.88935173132,2983.445642580298,604.8372819578235,2578.779615487931
720.4530070294195,1927.243716182509,778.7549538603951,2714.5859012241453,729.3465243426192,2983.150696496412,629.2944545691225,2580.844238075137
744.9101796407185,1977.384550443225,802.4401197604791,2759.692169691853,744.9101796407185,2984.2321654706625,653.7516271804218,2580.844238075137
769.3673522520178,2031.9495759622396,827.7310596198906,2805.924968341072,780.4842488935174,2983.150696496412,678.2087997917208,2580.844238075137
793.8245248633168,2092.118577075099,852.1882322311899,2846.885605740819,804.9414215048164,2981.381019993092,702.6659724030201,2575.8301546490657
818.2816974746161,2154.352200775164,876.6454048424889,2884.196285352469,820.5050768029159,2978.8248205994087,727.1231450143191,2580.5492919912504
842.7388700859151,2217.765608810775,900.2688102056757,2915.4237019839593,858.3025253840146,2972.8275835603818,751.5803176256184,2576.4200468168383
867.1960426972144,2280.2941785947273,927.2272845613122,2950.70662726889,882.7596979953137,2970.173068805403,776.0374902369174,2574.3554242296327
891.6532153085134,2337.8086649526076,951.6844571726112,2963.979201043785,908.5508982035929,2950.70662726889,800.4946628482166,2574.3554242296327
916.1103879198126,2389.4242296327566,973.9182504556106,2987.8370620514984,931.674043217912,2955.1308185271882,824.9518354595157,2574.3554242296327
940.5675605311117,2433.3711961318545,995.0403540744599,3002.617138032925,956.1312158292112,2960.734794121033,849.4090080708149,2574.3554242296327
965.0247331424109,2470.829348785448,,,971.6948711273105,2956.1139721401432,873.866180682114,2574.3554242296327
985.0351470971102,2494.172224567328,,,,,898.3233532934132,2574.3554242296327
-405.688622754491,3181.5533980582522,,,,,922.7805259047122,2574.3554242296327
,,,,,,947.2376985160115,2574.3554242296327
,,,,,,969.4714917990107,2574.3554242296327
